feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
bfac_all_zero,abs_b_p,-0.031514623326311206,0.13478959595797785,-0.19507583285064162,0.24507942779050124,7,-0.011371470653683545,0.5443380003961018,0
bfac_all_zero,a_p,-0.37356431291479975,0.034308360690732655,-0.4365150118000848,-0.320943741050203,10,-0.410636440271906,0.05427948474885069,5
bfac_all_zero,ddg_pcc,-0.16018868421947266,0.04963010788951794,-0.24012880447379792,-0.07576258090390818,10,-0.15288310545507883,0.4295944864556473,0
bfac_all_zero,a_dg,-0.37356431170666676,0.03430836020745741,-0.43651501024199335,-0.32094374062015835,10,-0.410636440271906,0.05427948546965335,5
Rg,b_p,0.15185925147147394,0.13008737108856577,0.008947415316596423,0.3521393231544086,10,0.10996168582375476,0.5315085265240709,0
Rg,abs_b_p,0.04513011457198414,0.15020715329234022,-0.3140970083225852,0.20134106833028612,7,0.1103448275862069,0.5058145697424522,0
Rg,a_p,0.1306512097753188,0.06544440760094906,0.030205325906878393,0.2507461581809224,10,0.12096332785987955,0.529498266649344,0
Rg,ddg_pcc,-0.04127484016096605,0.01888538891422401,-0.07781483952744683,-0.01775380589067015,10,-0.25675971538040504,0.8355682669094409,0
Rg,a_dg,0.13065120738950245,0.06544440754550794,0.030205322832790468,0.25074615522369054,10,0.12096332785987955,0.5294982741503482,0
Rg_over_N13,b_p,0.29873976220629517,0.051993166981213035,0.19233297413559397,0.3756558819392653,10,0.3394088669950739,0.13684736411565795,1
Rg_over_N13,abs_b_p,-0.14774065213093163,0.10719862704271646,-0.34414818666824787,0.03512571899237497,9,-0.10678708264915163,0.48303853672417124,0
Rg_over_N13,a_p,0.3447803269443973,0.04771643054828683,0.27311502850758107,0.43396276214829815,10,0.5230979748221127,0.08149410258418625,4
Rg_over_N13,ddg_pcc,0.16262708526973793,0.04348888035672573,0.04810970857562685,0.2000249975090112,10,0.11083743842364531,0.4182815776044788,0
Rg_over_N13,a_dg,0.34478032486254695,0.04771643085954039,0.2731150265804695,0.4339627628799959,10,0.5230979748221127,0.08149410461732316,4
asphericity,b_p,0.43482863298989366,0.040070513483755434,0.3799830989438614,0.4872667006398898,10,0.32019704433497537,0.02417013479780998,10
asphericity,abs_b_p,-0.2018633114881955,0.07372413332966178,-0.3194035307145064,-0.06970499775259398,10,-0.11948549534756432,0.33466528397465034,0
asphericity,a_p,0.3563292588857511,0.04051853621948255,0.29998794469613965,0.4277362537925451,10,0.5314723590585659,0.06893776343483311,4
asphericity,ddg_pcc,0.3522104865542873,0.056400228503065995,0.21201776692929486,0.41246970658743387,10,0.2705528188286809,0.08038441821747783,5
asphericity,a_dg,0.3563292578905355,0.040518535965013466,0.2999879448207251,0.4277362565779196,10,0.5314723590585659,0.06893776414294836,4
acylindricity,b_p,0.06119446787308103,0.1394768010620557,-0.1912455293548893,0.19499792524365173,7,0.09332238642583471,0.47167633358506594,0
acylindricity,abs_b_p,-0.047572566112260704,0.09849622107679626,-0.14641292737334474,0.16041066084031566,7,-0.07027914614121511,0.6196575320517674,0
acylindricity,a_p,0.27940768295626034,0.06223517103445999,0.1673709935894524,0.3656372490764432,10,0.18067870826491514,0.1712674824424911,0
acylindricity,ddg_pcc,0.2795814332317418,0.07089129983649756,0.11294759480047309,0.36136819535766546,10,0.3339354132457581,0.17789039698625717,0
acylindricity,a_dg,0.2794076856461935,0.06223517059420491,0.16737099609464415,0.3656372503088589,10,0.18067870826491514,0.1712674779272611,0
shape_aniso,b_p,0.35171475368394606,0.042367253019918706,0.27771006301295564,0.403137168691845,10,0.34833059660645865,0.07381784664381935,4
shape_aniso,abs_b_p,-0.11335023251995005,0.07514099414460401,-0.23923023354569395,0.011314793741905749,8,-0.1692391899288451,0.576897789843693,0
