feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
hydrophobic_moment_proxy,abs_b_p,-0.0625203652866441,8,-0.08616840642713582,8,0.08821667985336754,0.061308699060805584,-0.14305928266336182,0.061308699060805584
hydrophobic_moment_proxy,ddg_pcc,0.2958833807497698,10,0.36845437469121417,10,0.18386715440847184,0.23929317935100491,0.23929317935100491,0.374877980433892
depth_mean,a_p,-0.43171006780879306,10,-0.5087488312849037,10,-0.3898781712556624,-0.24888041496645594,-0.5277347054341671,-0.24888041496645594
depth_mean,b_p,-0.06688824357455125,8,-0.15538961677093568,8,-0.01706129871529139,0.10679846588602764,-0.13328417862237504,0.10679846588602764
depth_mean,abs_b_p,0.403817174231116,10,0.39305412425802816,10,0.34838304384468294,0.3184308204001255,0.3184308204001255,0.4702257206532566
depth_mean,ddg_pcc,-0.23567072478030218,10,-0.3023393000557087,10,-0.1478095333255384,-0.08044975517920117,-0.2887509560889803,-0.08044975517920117
depth_max,a_p,0.19649339443032426,10,0.10006299778298282,10,0.23832381067960076,-0.006421991624497794,-0.006421991624497794,0.30900759261291066
depth_max,b_p,-0.0010467162312480967,6,-0.05963040241059817,9,0.0208022088839284,0.17473930866119516,-0.159187114505918,0.17473930866119516
depth_max,abs_b_p,0.2537360548466628,9,0.32768839998512056,9,0.22890801460482554,0.1309481239826801,0.1309481239826801,0.3549212769669086
depth_max,ddg_pcc,-0.02947185250496683,6,-0.053557443774376025,8,0.014040643788824792,0.1757638106405289,-0.14348630754954128,0.1757638106405289
depth_p90,a_p,-0.5234851564415889,10,-0.5274260998754488,10,-0.4948730722484336,-0.43164082437268547,-0.5949510675593549,-0.43164082437268547
depth_p90,b_p,-0.31884488427338215,10,-0.4008420231999349,10,-0.2971231112237895,-0.1960083999372602,-0.3982429736050208,-0.1960083999372602
depth_p90,abs_b_p,0.41295742585213163,10,0.41843833401504166,10,0.342336617757706,0.30828169655002335,0.30828169655002335,0.49669925508195345
depth_p90,ddg_pcc,-0.4779236217083784,10,-0.5631915690167852,10,-0.40690220349892864,-0.38808707860692804,-0.5547779632110721,-0.38808707860692804
frac_deep_6A,a_p,0.3088080904739268,10,0.31982956405929774,10,0.2891494001186344,0.3067636572987524,0.3067636572987524,0.37114376136596705
frac_deep_6A,b_p,0.1805423745264348,10,0.21781391318942878,10,0.1672972541682423,0.17681678502352954,0.17681678502352954,0.20692224645175497
frac_deep_6A,abs_b_p,-0.010196733704748932,6,-0.007198251351338376,5,0.02840225787716975,0.024175226562038486,-0.019315408968587133,0.024175226562038486
frac_deep_6A,ddg_pcc,0.12064600471724991,10,0.1340802261419035,10,0.0863120487220011,0.11471279135833265,0.11471279135833265,0.13055441973946486
frac_H,a_p,-0.21000065789870143,10,-0.031049820667075012,6,-0.38289311529811554,-0.14747785906124408,-0.27103660854234873,-0.14747785906124408
frac_H,b_p,-0.3197845608164736,10,-0.3113674924375546,10,-0.4657555864157644,-0.2376345750566458,-0.4320000356735735,-0.2376345750566458
frac_H,abs_b_p,0.009501320311231081,4,0.03732365035323385,5,0.17349229538979197,-0.18324924399819456,-0.18324924399819456,0.09048739279425097
frac_H,ddg_pcc,-0.04421688337889383,7,-0.012600862450997669,7,-0.22782504150992233,0.12270323825649536,-0.10864766220522921,0.12270323825649536
frac_E,a_p,0.06636260792402912,8,-0.11930141238856935,9,0.20731295575018494,-0.02930846238528299,-0.02930846238528299,0.16777246938531465
