file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.05,bot,56,28,0.5,0.049777777777777775,10.044642857142858
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.1,top,112,28,0.25,0.09955555555555555,2.5111607142857144
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.1,bot,112,59,0.5267857142857143,0.09955555555555555,5.291374362244898
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.15,top,168,44,0.2619047619047619,0.14933333333333335,1.753826530612245
abl_anchor_w1.0_s42_e14,1GYZ,1125,0.15,bot,168,101,0.6011904761904762,0.14933333333333335,4.0258290816326525
abl_anchor_w1.0_s42_e14,1PSE,1217,0.05,top,60,9,0.15,0.049301561216105176,3.0425
abl_anchor_w1.0_s42_e14,1PSE,1217,0.05,bot,60,26,0.43333333333333335,0.049301561216105176,8.789444444444445
abl_anchor_w1.0_s42_e14,1PSE,1217,0.1,top,121,25,0.2066115702479339,0.09942481511914544,2.0780684379482275
abl_anchor_w1.0_s42_e14,1PSE,1217,0.1,bot,121,73,0.6033057851239669,0.09942481511914544,6.067959838808824
abl_anchor_w1.0_s42_e14,1PSE,1217,0.15,top,182,53,0.29120879120879123,0.1495480690221857,1.9472587851708731
abl_anchor_w1.0_s42_e14,1PSE,1217,0.15,bot,182,118,0.6483516483516484,0.1495480690221857,4.335406351889868
abl_anchor_w1.0_s42_e14,1QKH,1271,0.05,top,63,9,0.14285714285714285,0.04956726986624705,2.8820861678004532
abl_anchor_w1.0_s42_e14,1QKH,1271,0.05,bot,63,27,0.42857142857142855,0.04956726986624705,8.64625850340136
abl_anchor_w1.0_s42_e14,1QKH,1271,0.1,top,127,32,0.25196850393700787,0.0999213217938631,2.5216690433380866
abl_anchor_w1.0_s42_e14,1QKH,1271,0.1,bot,127,64,0.5039370078740157,0.0999213217938631,5.043338086676173
abl_anchor_w1.0_s42_e14,1QKH,1271,0.15,top,190,58,0.30526315789473685,0.14948859166011014,2.042049861495845
abl_anchor_w1.0_s42_e14,1QKH,1271,0.15,bot,190,98,0.5157894736842106,0.14948859166011014,3.4503601108033246
abl_anchor_w1.0_s42_e14,1QP2,1082,0.05,top,54,10,0.18518518518518517,0.04990757855822551,3.7105624142661178
abl_anchor_w1.0_s42_e14,1QP2,1082,0.05,bot,54,24,0.4444444444444444,0.04990757855822551,8.905349794238683
abl_anchor_w1.0_s42_e14,1QP2,1082,0.1,top,108,38,0.35185185185185186,0.09981515711645102,3.525034293552812
abl_anchor_w1.0_s42_e14,1QP2,1082,0.1,bot,108,49,0.4537037037037037,0.09981515711645102,4.545438957475994
abl_anchor_w1.0_s42_e14,1QP2,1082,0.15,top,162,63,0.3888888888888889,0.14972273567467653,2.5973936899862826
abl_anchor_w1.0_s42_e14,1QP2,1082,0.15,bot,162,84,0.5185185185185185,0.14972273567467653,3.4631915866483762
abl_anchor_w1.0_s42_e14,1TUC,1043,0.05,top,52,12,0.23076923076923078,0.04985618408437201,4.628698224852071
abl_anchor_w1.0_s42_e14,1TUC,1043,0.05,bot,52,29,0.5576923076923077,0.04985618408437201,11.186020710059172
abl_anchor_w1.0_s42_e14,1TUC,1043,0.1,top,104,32,0.3076923076923077,0.09971236816874401,3.0857988165680474
abl_anchor_w1.0_s42_e14,1TUC,1043,0.1,bot,104,57,0.5480769230769231,0.09971236816874401,5.496579142011835
